X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2158,2694326,111698008,40.15,42.15,40.15,41.4,1701,37.3,53.9,24.69879518,14.86763588,9.086330125,-2.476281392,1
2159,2392178,100197357,42.2,42.8,41.25,41.65,1534,37.3,51.0,31.75182482,20.49569886,12.88945304,-2.323038611,1
2160,1786097,74877600,41.8,42.3,41.0,42.3,1097,37.3,49.5,40.98360656,27.32500143,17.7013025,-1.546095352,1
2161,3543934,143461094,41.5,41.5,39.8,40.8,1863,37.3,47.1,35.71428571,30.12142952,21.84134484,5.281175478,1
2162,1049588,42989374,40.6,41.3,40.15,41.1,732,37.3,46.3,42.22222222,34.15502709,25.94590559,9.527662593,1
2163,2961750,116158800,40.7,40.8,38.5,39.0,2147,37.3,42.8,30.90909091,33.07304836,28.32161985,18.81876282,0
2164,8388701,311047779,37.8,39.5,36.0,36.0,5076,36.0,42.8,0.0,22.04869891,26.2306462,34.59454079,1
2165,5260428,172566038,33.6,33.95,32.4,32.4,3385,32.4,42.8,0.0,14.69913261,22.38680834,37.7621598,0
2166,7379920,226956529,32.75,32.95,29.8,29.8,4175,29.8,42.8,0.0,9.799421737,18.1910128,34.97419494,0
2167,9099749,273017447,30.0,30.75,29.6,29.6,4498,29.6,42.8,0.0,6.532947825,14.30499114,29.84907778,1
2168,5421197,159110024,28.0,30.5,28.0,30.4,3286,28.0,42.3,16.78321678,9.949704144,12.85322881,18.66027814,0
2169,4667879,148074465,30.4,32.4,30.4,32.0,3171,28.0,41.5,29.62962963,16.50967931,14.07204564,9.196778315,0
2170,4402394,144153745,32.15,33.5,31.8,32.8,2680,28.0,41.3,36.09022556,23.03652806,17.06020645,5.107563226,1
2171,6290189,213845691,33.45,34.8,33.1,33.75,3927,28.0,40.8,44.921875,30.33164371,21.48401887,3.78876919,1
2172,3123221,103902642,33.0,33.75,32.75,33.7,1970,28.0,39.5,49.56521739,36.74283493,26.57029089,6.2252028,0
2173,3757482,124318366,34.5,34.6,32.0,32.0,2358,28.0,34.8,58.82352941,44.10306643,32.4145494,9.037515352,1
2174,2481332,81784035,32.65,33.55,31.95,33.4,1748,28.0,34.8,79.41176471,55.87263252,40.23391044,8.956466284,1
2175,2577432,87321332,34.4,34.8,33.2,33.2,1658,28.0,34.8,76.47058824,62.73861776,47.73547955,17.72920312,1
2176,1505978,49709663,33.0,33.7,32.5,33.4,1194,28.0,34.8,79.41176471,68.29633341,54.5890975,27.17462569,1
2177,1171100,38582188,33.4,33.8,32.55,32.6,863,30.4,34.8,50.0,62.1975556,57.1252502,46.9806394,1
2178,1538081,49348201,32.0,32.9,31.1,32.9,1154,31.1,34.8,48.64864865,57.68125329,57.31058456,56.56924712,1
2179,1083900,35527277,32.9,33.3,32.35,32.35,818,31.1,34.8,33.78378378,49.71543012,54.77886642,64.90573901,1
2180,1565521,50934370,32.35,33.25,31.75,33.25,1121,31.1,34.8,58.10810811,52.51298945,54.02357409,57.04474338,1
2181,3097839,105295576,33.7,34.45,33.2,33.9,1944,31.1,34.8,75.67567568,60.23388486,56.09367768,47.81326333,1
2182,3770122,139325339,35.05,37.25,35.05,37.25,1783,31.1,37.25,100.0,73.48925657,61.89220398,38.69809879,1
2183,7916460,288835421,36.7,37.0,36.05,36.25,4605,31.1,37.25,83.7398374,76.90611685,66.8968416,46.87829111,0
2184,5465412,197596667,35.75,37.1,35.35,36.95,3139,31.1,37.25,95.12195122,82.97806164,72.25724828,50.81562156,0
2185,9125023,338192890,37.55,37.8,36.1,36.1,4679,31.1,37.8,74.62686567,80.19432965,74.90294207,64.32016691,0
2186,2582577,92861026,36.05,36.45,35.3,36.0,1557,31.1,37.8,73.13432836,77.84099589,75.88229334,71.96488825,0
2187,4246329,158138923,36.6,37.9,36.4,37.0,2845,31.75,37.9,85.36585366,80.34928181,77.3712895,71.41530487,0
2188,10476749,400955867,37.6,39.1,37.5,39.1,5619,31.75,39.1,100.0,86.89952121,80.54736673,67.84305779,0
2189,6819423,270366477,39.3,40.35,38.9,40.15,4387,33.2,40.35,97.2027972,90.33394654,83.80956,70.76078693,1
2190,5902972,244561652,40.9,42.35,40.6,41.0,3923,35.05,42.35,81.50684932,87.3915808,85.00356693,80.22753921,1
2191,4610968,189506279,41.25,42.25,40.3,40.9,2932,35.3,42.35,79.43262411,84.73859524,84.91524303,85.26853863,1
2192,5710793,241253256,42.1,42.8,41.45,42.0,3119,35.3,42.8,89.33333333,86.2701746,85.36688689,83.56031147,1
2193,3873482,163373831,42.5,42.75,41.65,41.8,2540,35.3,42.8,86.66666667,86.40233862,85.71203747,84.33143516,1
2194,2838709,115537069,40.35,41.45,40.2,40.85,1897,35.3,42.8,74.0,82.26822575,84.56410023,89.15584919,1
2195,3672199,145821952,41.0,41.45,38.7,39.5,2549,36.4,42.8,48.4375,70.99131717,80.03983921,98.13688329,1
2196,1654845,66427311,40.45,40.75,39.8,39.9,1253,37.5,42.8,45.28301887,62.4218844,74.16718761,97.65779402,1
2197,1323077,51816053,39.0,39.8,38.75,38.75,918,38.7,42.8,1.219512195,42.02109367,63.45182296,106.3132815,1
2198,1851059,74126530,39.35,40.7,39.1,40.65,1341,38.7,42.8,47.56097561,43.86772098,56.92378897,83.03592494,1
2199,3156971,130548895,41.8,41.8,40.5,41.5,2182,38.7,42.8,68.29268293,52.00937496,55.28565096,61.83820297,1
2200,2582346,106453212,41.8,41.95,40.6,40.6,1844,38.7,42.8,46.34146341,50.12007111,53.56379101,60.45123082,1
2201,1501485,60703714,40.5,41.0,40.0,40.45,1045,38.7,42.75,43.20987654,47.81667292,51.64808498,59.3109091,1
2202,2284717,94642864,40.9,41.8,40.6,41.45,1489,38.7,41.95,84.61538462,60.08291015,54.45969337,43.21325981,1
2203,1870739,76058464,41.5,41.5,40.25,40.3,1318,38.7,41.95,49.23076923,56.46552985,55.12830553,52.4538569,1
2204,1574935,63152550,40.7,40.8,39.35,40.15,1248,38.75,41.95,43.75,52.2270199,54.16121032,58.02959116,1
2205,1879601,74617767,40.15,40.3,39.4,40.3,1183,38.75,41.95,48.4375,50.9638466,53.09542241,57.35857404,1
2206,4208619,166520123,40.0,40.3,39.0,39.1,2664,39.0,41.95,3.389830508,35.10584124,47.09889535,71.08500359,1
2207,821689,31947555,39.15,39.2,38.3,38.8,615,38.3,41.95,13.69863014,27.9701042,40.72263164,66.2276865,1
2208,2462907,99458356,39.25,41.2,38.9,41.2,1818,38.3,41.95,79.45205479,45.1307544,42.19200589,36.31450887,1
2209,5257316,220040840,40.5,42.7,40.3,42.25,3669,38.3,42.7,89.77272727,60.01141202,48.13180794,24.37259976,1
2210,12632650,553917210,43.15,45.75,40.75,41.0,8456,38.3,45.75,36.24161074,52.08814493,49.45058693,44.17547094,1
2211,3482546,145730109,42.5,42.7,41.1,41.4,2411,38.3,45.75,41.61073826,48.59567604,49.16561663,50.30549783,1
2212,3610692,152673712,42.0,42.85,41.45,42.3,2449,38.3,45.75,53.69127517,50.29420908,49.54181412,48.03702419,1
2213,3948883,169882769,43.2,44.15,42.1,42.6,2806,38.3,45.75,57.71812081,52.76884632,50.61749152,46.31478191,1
2214,2948150,121495350,42.05,42.5,40.5,40.65,2175,38.3,45.75,31.54362416,45.69377227,48.97625177,55.54121077,1
2215,2890037,113778850,39.6,39.95,39.0,39.1,1927,38.3,45.75,10.73825503,34.04193319,43.99814558,63.91057035,1
2216,2024987,81676425,40.4,40.7,40.1,40.1,1280,38.9,45.75,17.51824818,28.53403819,38.84344311,59.46225297,1
2217,2235397,92013193,40.5,41.7,40.15,41.1,1567,39.0,45.75,31.11111111,29.39306249,35.69331624,48.29382373,1
2218,2159477,90370134,41.35,42.25,41.35,42.0,1498,39.0,45.75,44.44444444,34.41018981,35.26560743,36.97644267,1
2219,1182560,49502089,41.75,42.5,41.5,41.6,889,39.0,44.15,50.48543689,39.7686055,36.76660679,30.76260935,1
