,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2885,13115107,811922792,61.7,62.4,61.4,61.6,6856,61.4,68.3,2.898550725,19.86080855,35.10110826,65.58170767,1
1905,81632729,6975070848,88.0,91.2,87.5,90.7,21033,78.6,91.2,96.03174603,83.63253819,79.77904053,72.07204523,0
1792,14011389,651071937,46.0,47.3,45.25,47.2,6179,45.25,48.25,65.0,33.34929948,27.79982016,16.70086152,0
1129,3643656,29646888,8.3,8.3,8.12,8.18,322,7.83,8.47,54.6875,51.36338707,46.88549998,37.92972581,0
144,4847145,106234857,22.0,22.2,21.75,21.8,1490,21.6,24.65,6.557377049,9.468024664,12.22240608,17.7311689,0
140,13396923,297900604,22.85,22.95,22.05,22.2,3923,22.05,25.2,4.761904762,14.40568749,20.76533971,33.48464416,0
539,3022273,10903686,3.61,3.61,3.6,3.6,241,3.6,4.49,0.0,22.12153052,42.91411116,84.49927245,0
1497,16328420,676290478,40.85,42.3,40.85,40.85,7356,38.3,42.3,63.75,37.3094031,28.31336012,10.32127415,0
654,454075,832951,1.82,1.85,1.82,1.83,120,1.81,1.98,11.76470588,25.58726368,32.35361095,45.8863055,0
1828,6513606,336263595,51.8,52.2,51.4,51.7,2797,51.0,54.4,20.58823529,24.76621012,33.05301182,49.62661522,0
751,1330629,3570769,2.67,2.7,2.67,2.67,155,2.28,2.7,92.85714286,69.85258941,57.16266505,31.78281632,1
2540,24571431,1497528243,61.9,62.3,59.8,60.0,14681,59.8,65.3,3.636363636,33.06553599,51.58871494,88.63507285,1
2197,12008806,668636662,55.8,56.1,55.2,55.7,6636,54.3,64.3,14.0,30.55373065,49.26949617,86.70102721,1
486,5574380,10532670,1.9,1.9,1.87,1.87,401,1.87,2.33,0.0,7.259932545,9.430872592,13.77275268,0
2063,21468907,2064751682,94.0,97.7,94.0,96.5,10041,94.0,104.0,25.0,31.01839511,39.08354151,55.2138343,0
2148,13033810,768365062,60.2,60.4,58.1,58.1,6221,57.0,62.9,18.6440678,41.43402055,45.81137467,54.56608292,1
1824,7264368,376005252,51.2,52.4,51.2,52.3,3542,51.0,55.0,32.5,44.48497587,54.27660109,73.85985154,0
116,5852254,156157499,26.7,26.95,26.5,26.6,1652,25.0,27.3,69.56521739,78.08644713,76.8731662,74.44660434,1
1306,7050685,473043124,68.9,68.9,66.5,66.9,3755,66.5,74.6,4.938271605,37.07894706,47.59251339,68.61964604,0
1256,12967224,1029123186,78.8,80.2,78.5,79.5,5757,74.5,80.9,78.125,50.88801783,47.1915342,39.79856695,0
1528,4899391,195921087,39.8,40.4,39.55,39.95,2184,39.25,42.85,19.44444444,18.33450195,19.43006034,21.62117713,0
1701,7678405,342642029,45.0,45.15,44.3,44.6,3399,40.7,46.4,68.42105263,73.16424517,73.92574526,75.44874545,1
2363,10515560,749618570,72.4,72.4,70.8,71.5,5679,67.3,72.5,80.76923077,63.08316744,48.86176631,20.41896404,1
280,10741318,191995088,18.0,18.1,17.6,17.75,2901,16.95,19.1,37.20930233,39.79497447,46.6654297,60.40634016,0
2305,6250988,379195761,60.1,61.5,60.1,60.5,3384,59.6,62.9,27.27272727,23.94034317,25.0092669,27.14711437,0
2301,9656487,590348788,60.8,61.5,60.7,61.5,5114,59.2,65.7,35.38461538,28.51114022,28.29902756,27.87480223,0
21,11114100,296687778,27.2,27.4,26.05,26.05,2556,25.7,31.3,6.25,9.449047675,12.06017468,17.28242868,1
2166,37766123,1738907960,46.7,46.9,45.1,45.75,16776,45.1,57.2,5.371900826,23.56022399,36.52274414,62.44778444,1
2061,13763663,1368059506,100.5,100.5,98.8,99.3,6455,96.1,107.5,28.07017544,41.60742673,47.66037572,59.76627371,0
130,3808289,94561255,24.8,25.0,24.7,24.8,1612,24.6,25.7,18.18181818,23.68164325,24.39060502,25.80852857,0
104,2413953,60840375,25.2,25.45,25.05,25.05,774,24.85,26.45,12.5,50.97685624,63.66816786,89.05079109,0
1028,2873657,13873812,4.87,4.87,4.76,4.76,305,4.4,4.9,72.0,51.15559956,39.30091606,15.59154907,0
451,632202,1826479,2.7,2.97,2.7,2.92,256,2.69,4.0,17.55725191,11.31143578,16.11638031,25.72626938,0
1632,1932231,70958274,36.85,37.0,36.55,36.55,1177,36.55,37.6,0.0,22.81210662,29.99089024,44.34845748,0
626,389162,981635,2.49,2.53,2.49,2.53,97,2.42,2.58,68.75,74.4803435,76.5139779,80.58124671,0
1307,2679482,182502649,67.5,68.6,67.5,68.6,1877,66.5,74.6,25.92592593,33.36127335,42.84876671,61.82375342,0
1985,9036627,715993956,79.2,79.9,78.5,79.4,4768,78.0,85.8,17.94871795,20.54562141,30.16884065,49.41527913,0
2807,11637547,912921058,79.0,79.0,78.0,78.9,6629,77.0,84.6,25.0,27.65897719,33.7608794,45.96468382,0
2528,16325545,994478490,60.0,61.8,59.9,61.6,8491,56.1,63.4,75.34246575,52.20533403,46.05814185,33.76375749,0
923,2975710,13224034,4.58,4.58,4.36,4.46,273,3.9,4.8,62.22222222,77.09300538,82.43108083,93.10723171,0
89,14701973,372601326,26.25,26.25,24.85,25.15,4078,24.0,28.1,28.04878049,50.34530823,53.19187425,58.88500629,0
590,390200,1006296,2.53,2.64,2.53,2.64,103,2.27,2.92,56.92307692,41.25709422,43.2313671,47.17991286,0
998,5074917,27861271,5.49,5.49,5.49,5.49,352,3.62,5.49,100.0,96.25489663,86.97733835,68.42222179,1
1556,4622784,175380246,37.6,38.25,37.35,37.9,2109,36.95,38.75,52.77777778,36.54292441,32.7726205,25.23201267,0
2614,5886334,317259936,54.1,54.3,53.5,53.9,3215,48.0,55.9,74.6835443,63.38088983,49.4210352,21.50132593,1
2550,29491698,1831074378,63.0,63.4,60.8,60.9,15480,58.0,63.4,53.7037037,51.86419824,40.86673996,18.8718234,0
2739,15149151,1317165513,88.2,89.6,85.5,86.7,9240,85.5,102.0,7.272727273,16.39795416,31.47647416,61.63351415,0
7,25729491,838880912,32.1,33.45,32.0,32.0,5644,31.05,34.3,29.23076923,41.1382643,46.41155459,56.95813517,1
1312,3345716,208481339,62.8,63.6,61.6,62.1,2247,61.6,73.7,4.132231405,11.46731539,20.01666362,37.11536008,0
785,6209913,19894758,3.12,3.21,3.12,3.21,482,2.73,3.21,100.0,81.75336154,72.15534619,52.95931549,1
1877,10988278,699571469,63.5,64.2,63.2,64.0,4162,61.0,64.2,93.75,76.71852685,65.94968419,44.41199886,1
782,1872252,5278894,2.79,2.85,2.79,2.85,144,2.72,2.92,65.0,62.14879822,66.71384105,75.84392671,0
1978,41266358,3416590614,85.8,85.8,81.0,81.0,18114,78.0,85.8,38.46153846,62.35384896,65.79605345,72.68046242,1
1403,3843205,165564678,43.5,43.75,42.55,42.55,1955,41.55,45.3,26.66666667,43.7901166,55.84504612,79.95490515,0
1125,4971017,39934888,7.85,8.1,7.85,8.06,460,7.83,8.67,27.38095238,35.51542827,42.3151372,55.91455506,0
295,17823798,273423670,16.1,16.2,14.8,15.0,3983,14.8,16.65,10.81081081,28.22155823,32.00963535,39.58578959,0
466,5131704,13626970,2.71,2.73,2.5,2.5,391,2.5,2.99,0.0,17.24117466,26.73554827,45.72429548,0
281,21836063,366362386,17.5,17.5,16.55,16.6,5663,16.55,18.8,2.222222222,27.27072372,40.20052771,66.06013568,0
410,4897237,22491902,4.47,4.6,4.45,4.6,858,3.74,4.72,87.75510204,60.4188583,39.80007687,-1.437485973,0
202,3266411,60616968,18.65,18.75,18.4,18.65,1238,17.45,19.3,64.86486486,51.24863728,38.11872696,11.85890633,0
1891,20446508,1371821299,68.2,68.7,66.2,66.3,9403,62.1,69.9,53.84615385,55.85861345,50.16644426,38.78210588,1
