,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
939,5433581,302706306,55.7,2068,39.65625621,44.60706619,54.50868615,47.30305024431437,45.36497824635944,-0.0261321122713989,-66.66666666666653,-64.28571428571425,0
2067,6671691,482711794,72.0,3798,71.64297955,68.45214701,62.07048194,57.07389671208081,60.49983083817234,0.3871217053725061,0.0,-20.0,0
749,9275878,499473898,53.9,2666,62.80337828,55.09028302,39.66409251,56.63724026600702,57.7362037933543,0.4689722391068996,-14.285714285714432,-7.1428571428572525,0
2430,7340468,535625614,73.0,3771,14.88328973,28.61031467,56.06436455,41.25068720220039,34.87259456079389,-0.1531682095653335,-100.0,-100.0,0
2391,7101767,552750842,78.0,3665,77.09386927,70.22380538,56.4836776,56.43506239678017,64.38067089919008,-0.5160307037440952,0.0,0.0,0
2327,6276019,506888602,80.6,2443,50.85652661,63.12105862,87.65012263,53.46563972099552,47.1369901157296,1.469558087455755,-82.35294117647078,-82.35294117647078,1
1004,7594255,394388056,51.6,2552,12.63845098,16.38883878,23.88961438,31.88406631641081,16.776732873224113,-0.0938152438916311,-100.0,-100.0,0
2320,5594221,451369580,80.9,2652,74.04665024,77.89584198,85.59422544,63.22858466002429,59.36288628191259,1.7208722616930563,-33.33333333333254,-26.31578947368413,0
694,6818691,352686411,51.9,2242,68.92704308,64.1616391,54.63083115,57.73108065938561,58.12247191154907,0.4969513660516055,-8.333333333333432,-27.272727272727305,0
913,6393988,351838616,54.8,2805,84.7665037,77.74388061,63.69863442,46.79638247764332,54.18764274456991,-1.5441330293015043,-46.666666666666856,-26.923076923077016,1
2038,5963256,419967469,70.7,3917,78.0757763,65.01485564,38.89301432,63.20708398611183,70.98217944296354,0.2272744278140228,0.0,0.0,0
1723,5072069,267638852,52.6,2921,7.603756025,19.82971511,44.28163327,26.65804835209254,17.21680918881083,-0.8772320961634257,-100.0,-100.0,0
853,10155803,582570364,57.9,3668,41.07799833,35.52740288,24.42621197,44.03546940507289,44.90578830560852,-0.1787579818521668,-57.14285714285722,-61.90476190476206,1
604,5275195,248704100,47.1,2555,68.4896792,56.36843861,32.12595742,61.05823107108389,68.07242360291116,0.4536329011745135,0.0,-9.433962264150948,0
1840,11578224,684172507,59.2,5827,37.67701537,29.71662719,13.79585083,54.93847799144957,56.50934205493473,0.4863687848909522,0.0,-29.99999999999972,1
739,6035757,329405223,54.8,2452,93.3102322,89.67358116,82.40027908,71.28332000498916,78.13308250111052,0.5956649163720201,0.0,0.0,0
561,16712748,657739618,41.0,3119,22.96143325,21.95686646,19.94773287,41.43205013522727,45.37809440440216,-0.6002494147593882,-16.666666666666536,-71.69811320754715,1
695,5933605,307135259,51.6,1641,66.78469538,65.0359912,61.53858282,54.63383768145661,52.09170092749743,0.496799290114242,-57.14285714285671,-52.94117647058806,1
351,11051850,449073142,40.65,2253,67.51124794,59.88673797,44.63771803,45.064226285340055,41.37951610167447,0.071158387319639,-100.0,-58.6206896551724,0
1566,3948522,223374217,56.5,2133,26.29445596,39.16352395,64.90165994,39.23320747842543,30.965460209776317,0.2431606102931188,-100.0,-100.0,0
1147,21727437,1154721678,53.8,6858,58.69944842,37.80279237,-3.990519731,50.81082407283941,61.90452960871809,-0.7168991078535606,0.0,0.0,0
16,13694347,477302156,33.8,4498,9.557473617,12.53715624,18.49652148,7.604969149143397,5.868292546716663,-0.2151326186703618,-100.0,-100.0,0
181,21743561,891672416,40.85,7062,83.84949706,86.30328791,91.21086963,76.81436204172762,90.17049903506488,0.5201885833813034,0.0,0.0,0
1290,6035253,311698488,52.0,3327,45.08592233,30.88630441,2.487068573,51.7754893355483,58.83995290611783,0.0258154807117104,0.0,-9.090909090909207,0
970,12987615,685209928,52.8,6073,46.3500366,36.54597255,16.93784446,48.05224408826228,57.73600291070765,-0.92270614495917,0.0,-33.3333333333334,1
499,4557850,199532488,43.65,1868,49.90426844,63.00789264,89.21514104,55.49208496240096,51.36254993856735,0.6968852992569756,-63.15789473684207,-63.15789473684207,0
1647,10758127,631328622,58.3,5811,29.550314,36.89489227,51.5840488,27.22275151532165,19.141296067388332,-1.0028097272002707,-100.0,-100.0,0
1443,15469289,849964225,55.4,4991,20.0024577,21.41450177,24.2385899,41.42680478730794,42.42315164539986,-0.2118631677506419,0.0,-62.50000000000004,1
1053,10081398,514997354,51.1,3864,45.22955607,49.25861166,57.31672284,48.87777440373205,43.15379493234916,0.3107656049803096,-100.0,-70.37037037037024,0
570,3416203,142820176,42.0,1273,87.58643505,78.92259472,61.59491405,53.85830241382597,60.8091317766863,-0.3799113739095661,-33.33333333333373,-12.121212121212253,1
1267,7322412,390129336,53.3,2660,81.41525811,71.74282397,52.39795567,67.3448431030575,74.61851837626959,0.6454675785612407,0.0,0.0,0
2538,8062614,550589264,68.3,4081,53.95657992,40.75671063,14.35697206,53.4185587588588,58.26531624626477,-0.4010661366344703,0.0,0.0,0
437,10212786,387620854,38.25,4049,34.65306864,33.14330673,30.12378293,43.38413825420668,46.74740170653868,-1.0300960180659753,-52.38095238095236,-52.38095238095236,1
727,8255537,426918111,51.4,3358,80.65540731,71.40877678,52.91551573,50.88506566418106,51.590753039178175,-0.0138815968930374,-45.4545454545454,-20.833333333333343,0
1936,6712966,417080263,62.3,2437,16.42658832,18.26142025,21.93108411,39.93696017783891,34.74166093640433,-0.0929819088964336,-100.0,-100.0,1
2214,7334991,513992542,70.1,3984,66.19734264,51.20119722,21.20890638,45.81640536359784,52.02821742650278,-1.3093481934337152,-14.285714285714576,-6.896551724138049,0
398,24148414,1042330722,42.7,7315,37.90428062,31.91408391,19.93369048,39.92915386349527,37.53997928105505,0.4664763328657306,-18.367346938775366,-72.6027397260274,0
2402,11793083,867691792,73.4,4039,7.617536365,16.89780191,35.45833301,30.48717544010705,21.44370051735287,-0.462316582742377,-93.10344827586196,-95.83333333333329,1
2646,8891219,559287801,62.5,2877,19.18302734,18.61219744,17.47053764,33.703386038816845,33.7120166700435,-1.2245912158980086,-27.272727272727156,-71.4285714285715,1
1944,7134675,457194740,64.0,2545,62.47838975,58.11944189,49.40154618,54.07684728845116,57.26181683971424,-0.0513214092988349,-33.33333333333307,-14.999999999999858,1
103,10890785,349890651,32.35,3993,51.19511734,52.79244113,55.98708871,37.73152602585469,35.23629389643567,-0.6201944975033893,-100.0,-94.444444444444,1
1824,19977414,1202411220,60.1,7260,72.69606234,67.42413016,56.8802658,71.63864748648696,75.8776216009073,0.4576627643444609,-13.888888888888884,-12.820512820512825,0
636,17133375,848165763,49.0,5680,26.97078678,28.62997373,31.94834763,55.176566738118495,54.57603532186279,0.6615389561586994,0.0,-45.71428571428555,0
177,11594355,458575973,39.6,4011,89.99300688,87.82905902,83.50116328,67.89178986762127,78.98476062273967,0.3028038346435179,0.0,0.0,1
2131,7887136,603116842,76.3,3479,77.93271866,69.7205776,53.29629548,52.11743395078005,58.46835989709567,-0.8207845451885205,-36.84210526315793,-11.666666666666714,0
2080,7460982,553556168,74.0,4234,72.6108731,80.68761694,96.84110461,54.895014750232576,47.58877700172586,1.0135123899241425,-100.0,-47.50000000000014,1
2040,7438166,526472690,70.7,3277,82.47333353,74.84993597,59.60314085,62.703813296884405,69.28062246318086,0.3428374530685989,-16.66666666666588,-3.846153846153636,0
752,4368105,234749603,53.7,1394,65.97682943,64.7560166,62.31439095,52.81854438610931,49.50234229498173,0.4458265591174198,-100.0,-38.88888888888872,1
