date,real_close,predict_close,predict_result
109/11/05,45.15,44.803726,1.0
109/11/06,45.0,45.1744,0.0
109/11/09,45.15,45.02553,1.0
109/11/10,45.9,45.12967,1.0
109/11/11,46.45,45.984146,1.0
109/11/12,46.15,46.41282,0.0
109/11/13,46.6,46.054413,1.0
109/11/16,46.65,46.32466,1.0
109/11/17,46.8,46.55703,1.0
109/11/18,46.75,46.683315,0.0
109/11/19,46.4,46.65963,0.0
109/11/20,46.15,46.31939,0.0
109/11/23,46.65,45.96815,1.0
109/11/24,46.45,46.365314,0.0
109/11/25,46.65,46.12204,1.0
109/11/26,46.7,46.499977,1.0
109/11/27,47.0,46.681828,1.0
109/11/30,46.35,47.29183,0.0
109/12/01,46.6,45.987366,1.0
109/12/02,46.35,46.118767,0.0
109/12/03,46.25,45.900978,0.0
109/12/04,46.4,45.67649,1.0
109/12/07,46.1,45.925888,0.0
109/12/08,46.05,45.583855,0.0
109/12/09,46.3,45.339966,1.0
109/12/10,47.5,45.518467,1.0
109/12/11,46.9,47.19716,0.0
109/12/14,46.3,46.58864,0.0
109/12/15,45.7,45.480774,0.0
109/12/16,46.0,44.809727,1.0
109/12/17,45.6,44.861732,0.0
109/12/18,46.45,44.72163,1.0
109/12/21,46.6,45.35698,1.0
109/12/22,46.25,45.7057,0.0
109/12/23,46.7,45.61872,1.0
109/12/24,46.8,45.983414,1.0
109/12/25,48.1,46.29479,1.0
109/12/28,51.0,47.52887,1.0
109/12/29,50.3,49.92282,0.0
109/12/30,49.95,49.715614,0.0
109/12/31,50.8,48.910545,1.0
110/01/04,51.0,49.29324,1.0
110/01/05,50.2,50.221046,0.0
110/01/06,49.65,49.587433,0.0
110/01/07,50.0,49.077393,0.0
110/01/08,50.1,49.040146,0.0
110/01/11,51.0,48.939682,1.0
110/01/12,50.0,49.73667,0.0
110/01/13,50.1,49.177143,0.0
110/01/14,49.85,49.173286,0.0
110/01/15,48.9,48.9826,0.0
110/01/18,48.5,48.307537,0.0
110/01/19,48.95,47.969604,1.0
110/01/20,47.65,48.080795,0.0
110/01/21,48.0,47.465454,0.0
110/01/22,49.2,47.173958,1.0
110/01/25,49.0,47.996525,1.0
110/01/26,48.85,48.168194,0.0
110/01/27,48.7,48.111473,0.0
110/01/28,48.7,47.952164,1.0
110/01/29,48.25,48.06488,0.0
110/02/01,47.9,47.661358,0.0
110/02/02,47.85,47.19581,0.0
110/02/03,48.3,46.872993,1.0
110/02/04,48.3,47.29502,1.0
110/02/05,48.4,47.47135,1.0
110/02/17,48.95,47.655922,1.0
110/02/18,49.65,48.416935,1.0
110/02/19,50.3,49.329224,1.0
110/02/22,50.0,49.690468,0.0
110/02/23,50.2,49.486786,1.0
110/02/24,50.1,49.67816,0.0
110/02/25,50.3,49.559082,1.0
110/02/26,50.0,49.744827,0.0
110/03/02,49.85,49.587074,0.0
110/03/03,50.3,49.41735,1.0
110/03/04,50.7,50.00518,0.0
110/03/05,51.0,49.871674,1.0
110/03/08,53.0,50.39267,1.0
110/03/09,53.2,52.480225,1.0
110/03/10,53.2,52.679688,0.0
110/03/11,52.3,52.391846,0.0
110/03/12,52.7,51.800133,1.0
110/03/15,52.2,51.820755,0.0
110/03/16,52.4,51.585716,1.0
110/03/17,52.5,51.617985,1.0
110/03/18,52.5,51.748413,0.0
110/03/19,51.9,51.541733,0.0
110/03/22,52.6,51.005074,1.0
110/03/23,52.5,51.650223,1.0
110/03/24,52.9,51.985603,1.0
110/03/25,53.8,52.58641,1.0
110/03/26,54.1,52.84667,1.0
110/03/29,54.2,53.26159,0.0
110/03/30,54.7,53.043625,1.0
110/03/31,54.6,53.47879,0.0
110/04/01,54.5,53.40403,1.0
110/04/06,54.4,53.72592,0.0
110/04/07,54.5,53.582573,0.0
110/04/08,54.4,53.454502,0.0
110/04/09,54.2,53.339973,0.0
110/04/12,55.2,52.673065,1.0
110/04/13,56.1,54.387405,1.0
110/04/14,56.3,54.68297,1.0
110/04/15,56.5,55.12535,1.0
110/04/16,57.0,55.325073,1.0
110/04/19,58.4,55.62844,1.0
110/04/20,58.0,56.585533,0.0
110/04/21,57.7,56.43302,0.0
110/04/22,57.9,56.341354,1.0
110/04/23,57.5,56.428883,0.0
110/04/26,58.0,56.133453,1.0
110/04/27,58.1,56.425232,1.0
110/04/28,61.3,56.455437,1.0
110/04/29,59.9,58.79355,0.0
110/05/03,60.1,57.85988,1.0
110/05/04,58.9,58.156418,0.0
110/05/05,58.6,57.361298,0.0
110/05/06,58.7,56.996464,1.0
110/05/07,59.2,57.213085,1.0
110/05/10,60.5,57.38031,1.0
110/05/11,59.2,58.147224,0.0
110/05/12,55.4,57.333168,0.0
